,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_union__posngrams__tfidf__ngram_range,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.702315330505371,0.37555975914001466,0.1045101842870999,0.10826891565943735,0.1,"(1, 1)","{'clf__C': 0.1, 'union__posngrams__tfidf__ngram_range': (1, 1)}",16,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10787878787878788,0.1260988178235829,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.02713969522905056,0.07370917188703383,0.0016912112161418663,0.0089150293491792
1,3.118894577026367,0.6260441780090332,0.10693501454898158,0.11069389292527547,0.1,"(2, 2)","{'clf__C': 0.1, 'union__posngrams__tfidf__ngram_range': (2, 2)}",14,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12,0.13822370415277357,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.03191944514880527,0.016623422728545386,0.006535201557693956,0.013764956304194938
2,3.3405786037445067,0.6849467754364014,0.1081474296799224,0.11378573893921909,0.1,"(3, 3)","{'clf__C': 0.1, 'union__posngrams__tfidf__ngram_range': (3, 3)}",6,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12606060606060607,0.15368293422249166,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.03750392776397919,0.016576945850010443,0.008959199268527016,0.01994863261902611
3,6.921896839141846,1.386530065536499,0.10790494665373423,0.11190638155819457,0.1,"(1, 3)","{'clf__C': 0.1, 'union__posngrams__tfidf__ngram_range': (1, 3)}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12484848484848485,0.1442861473173689,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.07424343991664095,0.02258645606889289,0.008474378437380909,0.01618992597746284
4,1.7096293449401856,0.3239272117614746,0.12997090203685743,0.1414250271966418,1,"(1, 1)","{'clf__C': 1, 'union__posngrams__tfidf__ngram_range': (1, 1)}",4,0.1338962605548854,0.14051593323216996,0.13043478260869565,0.1350121359223301,0.11878787878787879,0.14216429220976054,0.13138686131386862,0.14294367050272563,0.1353658536585366,0.14648910411622276,0.033325391493965344,0.08819354937891638,0.005860503573056447,0.0037536460043682725
5,3.1061180591583253,0.6383478164672851,0.10693501454898158,0.11069389292527547,1,"(2, 2)","{'clf__C': 1, 'union__posngrams__tfidf__ngram_range': (2, 2)}",14,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12,0.13822370415277357,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.01791600926320127,0.010020088352057494,0.006535201557693956,0.013764956304194938
6,3.3971200942993165,0.6990235805511474,0.1081474296799224,0.11378573893921909,1,"(3, 3)","{'clf__C': 1, 'union__posngrams__tfidf__ngram_range': (3, 3)}",6,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12606060606060607,0.15368293422249166,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.04367520614978254,0.016880294305222126,0.008959199268527016,0.01994863261902611
7,6.982508563995362,1.4240530967712401,0.10790494665373423,0.11190638155819457,1,"(1, 3)","{'clf__C': 1, 'union__posngrams__tfidf__ngram_range': (1, 3)}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12484848484848485,0.1442861473173689,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.07487984829233764,0.018817054499217653,0.008474378437380909,0.01618992597746284
8,1.6413470268249513,0.3553713321685791,0.1336081474296799,0.16682680077906376,10,"(1, 1)","{'clf__C': 10, 'union__posngrams__tfidf__ngram_range': (1, 1)}",3,0.1399276236429433,0.16267071320182094,0.14251207729468598,0.16747572815533981,0.12727272727272726,0.16944528645043952,0.13381995133819952,0.16384009691096305,0.12439024390243902,0.17070217917675545,0.033991837595030674,0.06772559751769522,0.006991336583099972,0.0031141482181044613
9,3.098925304412842,0.628394889831543,0.12730358874878758,0.1536090623984892,10,"(2, 2)","{'clf__C': 10, 'union__posngrams__tfidf__ngram_range': (2, 2)}",5,0.12665862484921592,0.15144157814871018,0.1388888888888889,0.14654126213592233,0.11393939393939394,0.1542891785389512,0.12895377128953772,0.15748031496062992,0.12804878048780488,0.15829297820823243,0.006312694664776466,0.013159052639973403,0.007963277690963852,0.0042904547591541145
10,3.374940013885498,0.6969095706939697,0.1081474296799224,0.11378573893921909,10,"(3, 3)","{'clf__C': 10, 'union__posngrams__tfidf__ngram_range': (3, 3)}",6,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12606060606060607,0.15368293422249166,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.04096907680133418,0.02269921757242952,0.008959199268527016,0.01994863261902611
11,6.960157775878907,1.417891263961792,0.10790494665373423,0.11190638155819457,10,"(1, 3)","{'clf__C': 10, 'union__posngrams__tfidf__ngram_range': (1, 3)}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12484848484848485,0.1442861473173689,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.053413866104380606,0.011464807462965479,0.008474378437380909,0.01618992597746284
12,1.6779481410980224,0.3431099414825439,0.13603297769156159,0.1698574746380545,20,"(1, 1)","{'clf__C': 20, 'union__posngrams__tfidf__ngram_range': (1, 1)}",2,0.14354644149577805,0.16813353566009104,0.14492753623188406,0.1662621359223301,0.12606060606060607,0.17368899666565626,0.1386861313868613,0.16686856450635978,0.12682926829268293,0.17433414043583534,0.041473249677360435,0.08432499718205096,0.008085328039766655,0.003451176830268019
13,3.0566429615020754,0.6623887062072754,0.14645974781765275,0.22483795653419042,20,"(2, 2)","{'clf__C': 20, 'union__posngrams__tfidf__ngram_range': (2, 2)}",1,0.1640530759951749,0.21122913505311078,0.15458937198067632,0.2287621359223301,0.1296969696969697,0.22643225219763566,0.13990267639902676,0.22986069049061175,0.14390243902439023,0.22790556900726391,0.024098119671951936,0.022823019226483183,0.011898389878662109,0.006896072611546652
14,3.373078966140747,0.6782993793487548,0.1081474296799224,0.11378573893921909,20,"(3, 3)","{'clf__C': 20, 'union__posngrams__tfidf__ngram_range': (3, 3)}",6,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12606060606060607,0.15368293422249166,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.027607468894142367,0.03161672249281427,0.008959199268527016,0.01994863261902611
15,6.975755500793457,1.4280990600585937,0.10790494665373423,0.11190638155819457,20,"(1, 3)","{'clf__C': 20, 'union__posngrams__tfidf__ngram_range': (1, 3)}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12484848484848485,0.1442861473173689,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.057380421572913946,0.01740643601691757,0.008474378437380909,0.01618992597746284
